"id","acronym","vox","sum_val","mean_val","min_val","max_val","mean_nz","frac_nz","energy"
3,"AAA",31652,0,0,0,0,0,0,0
12,"ACAd1",38133,20112,0.527417197702777,0,1591,515.692307692308,0.00102273621272913,20.5692707104083
14,"ACAd5",76687,5493535,71.635805286424,0,1192,175.1150744318,0.409078461799262,2247286.84764041
15,"ACAd6a",44804,286003,6.38342558700116,0,1134,150.211659663866,0.04249620569592,12154.0423176502
16,"ACAd6b",1584,0,0,0,0,0,0,0
18,"ACAv1",30297,156372,5.16130309931676,0,3281,530.074576271186,0.00973693765059247,1522.58441429845
20,"ACAv5",64153,7137204,111.252848658675,0,1642,260.81505572812,0.426558383863576,3044434.20354465
21,"ACAv6a",23226,637667,27.4548781537932,0,1023,197.420123839009,0.139068285542065,88679.2564367519
22,"ACAv6b",3966,4109,1.03605648008069,0,337,111.054054054054,0.00932929904185577,38.3340897629854
23,"ACB",281489,0,0,0,0,0,0,0
24,"aco",48644,0,0,0,0,0,0,0
25,"act",13607,0,0,0,0,0,0,0
27,"ACVII",353,0,0,0,0,0,0,0
28,"AD",10248,0,0,0,0,0,0,0
29,"ADP",6385,0,0,0,0,0,0,0
31,"AHN",45466,0,0,0,0,0,0,0
38,"AId1",29473,6037,0.204831540732196,0,2949,1006.16666666667,0.000203576154446442,1.22898924439317
40,"AId5",96632,306243,3.16916756354003,0,1010,128.403773584906,0.0246812650053812,7558.46463904297
41,"AId6a",50002,53654,1.07303707851686,0,1030,128.666666666667,0.00833966641334347,447.45646174153
42,"AId6b",3135,0,0,0,0,0,0,0
44,"AIp1",27060,0,0,0,0,0,0,0
46,"AIp5",48165,41286,0.857178449081283,0,535,110.686327077748,0.0077442126025122,319.727561507319
47,"AIp6a",27900,445,0.0159498207885305,0,418,148.333333333333,0.00010752688172043,0.0478494623655914
48,"AIp6b",1323,0,0,0,0,0,0,0
50,"AIv1",16036,33012,2.05861810925418,0,1833,750.272727272727,0.0027438263906211,90.5791968071838
52,"AIv5",46103,685953,14.8787063748563,0,1335,155.474388032638,0.0956987614688849,65644.852525866
53,"AIv6a",10733,2875,0.2678654616603,0,345,106.481481481481,0.00251560607472282,7.2323674648281
54,"AIv6b",194,0,0,0,0,0,0,0
55,"alv",89379,140869,1.57608610523725,0,597,108.863214837713,0.0144776737264906,2039.455420177
58,"AMBd",1359,0,0,0,0,0,0,0
59,"AMBv",1404,0,0,0,0,0,0,0
60,"amc",10521,0,0,0,0,0,0,0
61,"AMd",15662,1714,0.109436853530839,0,302,85.7,0.00127697612054655,2.18873707061678
62,"AMv",10627,768,0.0722687494118754,0,300,96,0.000752799473040369,0.578149995295003
64,"ANcr1",364503,0,0,0,0,0,0,0
68,"ANcr2",327206,0,0,0,0,0,0,0
73,"AOBgl",9886,17698,1.79020837548048,0,2968,655.481481481482,0.00273113493829658,48.3356261379729
74,"AOBgr",14107,0,0,0,0,0,0,0
75,"AOBmi",17705,11767,0.664614515673539,0,1530,435.814814814815,0.0015249929398475,17.9445919231855
77,"AON",311661,2518275,8.0801736502161,0,8176,1055.88050314465,0.0076525455543042,19271.2141557654
86,"AP",3397,0,0,0,0,0,0,0
89,"APN",81666,103793,1.27094506893934,0,349,53.5567595459236,0.023730805965763,2463.09154360444
90,"AQ",25997,0,0,0,0,0,0,0
91,"arb",442961,605,0.00136580872808216,0,275,201.666666666667,6.7726052632173e-06,0.00409742618424647
92,"ARH",18325,0,0,0,0,0,0,0
93,"ASO",388,0,0,0,0,0,0,0
94,"AT",2757,333,0.120783460282916,0,111,23.7857142857143,0.00507798331519768,1.69096844396083
98,"AUDd1",12598,0,0,0,0,0,0,0
100,"AUDd4",8479,675,0.0796084443920274,0,152,84.375,0.000943507489090695,0.636867555136219
101,"AUDd5",21944,167695,7.64195224207073,0,820,121.518115942029,0.0628873496172074,10545.8940940576
102,"AUDd6a",11802,1900,0.160989662769022,0,382,211.111111111111,0.000762582613116421,1.4489069649212
103,"AUDd6b",1938,0,0,0,0,0,0,0
105,"AUDp1",24226,0,0,0,0,0,0,0
107,"AUDp4",15023,0,0,0,0,0,0,0
108,"AUDp5",45730,160704,3.5141919965012,0,878,131.18693877551,0.0267876667395583,4304.88519571397
109,"AUDp6a",19087,0,0,0,0,0,0,0
110,"AUDp6b",3484,0,0,0,0,0,0,0
112,"AUDpo1",7221,0,0,0,0,0,0,0
114,"AUDpo4",4768,0,0,0,0,0,0,0
115,"AUDpo5",11609,117341,10.1077612197433,0,897,126.17311827957,0.0801102592815919,9400.21793436127
116,"AUDpo6a",5049,0,0,0,0,0,0,0
117,"AUDpo6b",1140,0,0,0,0,0,0,0
