"cluster_id","cluster_label","cluster_color"
82,"L6 IT ALM Tgfb1","#53A39D"
83,"L6 IT ALM Oprk1","#174F61"
84,"L6 IT VISp Penk Col27a1","#A19922"
85,"L6 IT VISp Penk Fst","#7F9922"
86,"L6 IT VISp Col23a1 Adamts2","#C2E32C"
87,"L6 IT VISp Col18a1","#96E32C"
88,"L6 IT VISp Car3","#5100FF"
89,"L5 PT VISp Chrna6","#0000FF"
90,"L5 PT VISp Lgr5","#22737F"
91,"L5 PT VISp C1ql2 Ptgfr","#247740"
92,"L5 PT VISp C1ql2 Cdh13","#00A863"
93,"L5 PT VISp Krt80","#29E043"
94,"L5 PT ALM Slco2a1","#53D385"
95,"L5 PT ALM Npsr1","#1E806D"
96,"L5 PT ALM Hpgd","#4A8044"
97,"L5 NP VISp Trhr Cpne7","#008F39"
98,"L5 NP ALM Trhr Nefl","#3D9946"
99,"L5 NP VISp Trhr Met","#73CA95"
100,"L6 NP ALM Trh","#47867A"
101,"L6 CT ALM Cpa6","#00B8C3"
102,"L6 CT Nxph2 Sla","#006091"
103,"L6 CT VISp Nxph2 Wls","#5C89CC"
104,"L6 CT VISp Gpr139","#74A0FF"
105,"L6 CT VISp Ctxn3 Brinp3","#74CAFF"
106,"L6 CT VISp Ctxn3 Sla","#69A8E6"
107,"L6 CT VISp Krt80 Sla","#578EBF"
108,"L6b Col8a1 Rprm","#1F6666"
109,"L6b VISp Mup5","#2B7880"
110,"L6b VISp Col8a1 Rxfp1","#388899"
111,"L6b ALM Olfr111 Spon1","#266180"
112,"L6b ALM Olfr111 Nxph1","#494566"
113,"L6b P2ry12","#336D99"
114,"L6b VISp Crh","#254566"
115,"L6b Hsd17b2","#335280"
116,"Meis2 Adamts19","#FF0000"
117,"CR Lhx5","#00FF66"
118,"Astro Aqp4","#665C47"
119,"OPC Pdgfra Grm5","#476655"
120,"OPC Pdgfra Ccnb1","#475D4B"
121,"Oligo Rassf10","#6B998D"
122,"Oligo Serpinb1a","#6C8581"
123,"Oligo Synpr","#476662"
124,"VLMC Osr1 Cd74","#664747"
125,"VLMC Osr1 Mc5r","#89997A"
126,"VLMC Spp1 Hs3st6","#6B8059"
127,"VLMC Spp1 Col15a1","#74996B"
128,"Peri Kcnj8","#665547"
129,"SMC Acta2","#807059"
130,"Endo Ctla2a","#997F7A"
131,"Endo Cytl1","#805F59"
132,"PVM Mrc1","#4C6647"
133,"Microglia Siglech","#598069"
134,"Low Quality Meis2 Adamts19 ","#FFFFFF"
135,"Doublet Astro Aqp4 Ex","#F1F2F2"
136,"Low Quality Sst Chodl","#E6E7E8"
137,"Low Quality L4 Rspo1","#D1D3D4"
138,"High Intronic VISp L5 Endou","#939598"
139,"Low Quality ALM L6 CT Cpa6","#BCBEC0"
140,"Low Quality VISp L6 CT Ptprt_1","#A7A9AC"
141,"Low Quality VISp L6 CT Ptprt_2","#939598"
142,"Doublet VISp L5 NP and L6 CT","#808285"
143,"Low Quality VISp L5 PT Ctxn3 1","#6D6E71"
144,"Low Quality VISp L5 PT Ctxn3 2","#58595B"
145,"Batch Grouping VISp L5 PT Ctxn3","#414042"
146,"Batch Grouping VISp L5 PT Chrna6","#231F20"
147,"Low Quality Astro Aqp4","#000000"
148,"Doublet Endo and Peri_1","#202020"
149,"Doublet Endo Peri SMC","#505050"
150,"Doublet SMC and Glutamatergic","#C0C0C0"
