"cluster_id","cluster_label","cluster_color"
1,"Lamp5 Krt73","#DDACC9"
2,"Lamp5 Fam19a1 Pax6","#FF88AD"
3,"Lamp5 Fam19a1 Tmem182","#FFB8CE"
4,"Lamp5 Ntn1 Npy2r","#DD6091"
5,"Lamp5 Plch2 Dock5","#FF7290"
6,"Lamp5 Lsp1","#FFA388"
7,"Lamp5 Lhx6","#C77963"
8,"Sncg Slc17a8","#9440F3"
9,"Sncg Vip Nptx2","#9900B3"
10,"Sncg Gpr50","#C266D1"
11,"Sncg Vip Itih5","#6C00BF"
12,"Serpinf1 Clrn1","#A700FF"
13,"Serpinf1 Aqp5 Vip","#CA66FF"
14,"Vip Igfbp6 Car10","#7779BF"
15,"Vip Igfbp6 Pltp","#8194CC"
16,"Vip Igfbp4 Mab21l1","#533691"
17,"Vip Arhgap36 Hmcn1","#9189FF"
18,"Vip Gpc3 Slc18a3","#B09FFF"
19,"Vip Lmo1 Fam159b","#756FB3"
20,"Vip Lmo1 Myl1","#9FAAFF"
21,"Vip Ptprt Pkp2","#FF00FF"
22,"Vip Rspo4 Rxfp1 Chat","#AF00E6"
23,"Vip Lect1 Oxtr","#FF00B3"
24,"Vip Rspo1 Itga4","#B3128A"
25,"Vip Chat Htr1f","#FF4DC1"
26,"Vip Pygm C1ql1","#BD3D9A"
27,"Vip Crispld2 Htr2c","#882E81"
28,"Vip Crispld2 Kcne4","#AD589A"
29,"Vip Col15a1 Pde1a","#AC3491"
30,"Sst Chodl","#FFFF00"
31,"Sst Mme Fam114a1","#FFBB33"
32,"Sst Tac1 Htr1d","#804811"
33,"Sst Tac1 Tacr3","#B06411"
34,"Sst Calb2 Necab1","#BF480D"
35,"Sst Calb2 Pdlim5","#CC6D3D"
36,"Sst Nr2f2 Necab1","#FFDF11"
37,"Sst Myh8 Etv1 ","#D6C300"
38,"Sst Myh8 Fibin","#FF8011"
39,"Sst Chrna2 Glra3","#FF9F2C"
40,"Sst Chrna2 Ptgdr","#FFB307"
41,"Sst Tac2 Myh4","#D9C566"
42,"Sst Hpse Sema3c","#BF9F00"
43,"Sst Hpse Cbln4","#806B19"
44,"Sst Crhr2 Efemp1","#B95541"
45,"Sst Crh 4930553C11Rik ","#C77767"
46,"Sst Esm1","#C11331"
47,"Sst Tac2 Tacstd2","#BF8219"
48,"Sst Rxfp1 Eya1","#994C00"
49,"Sst Rxfp1 Prdm8","#802600"
50,"Sst Nts","#A81111"
51,"Pvalb Gabrg1","#ED4C50"
52,"Pvalb Th Sst","#FF2F7E"
53,"Pvalb Akr1c18 Ntf3","#FF4343"
54,"Pvalb Calb1 Sst","#BC2B11"
55,"Pvalb Sema3e Kank4","#C94545"
56,"Pvalb Gpr149 Islr","#E62A5D"
57,"Pvalb Reln Tac1","#D6221D"
58,"Pvalb Reln Itm2a","#E67A77"
59,"Pvalb Tpbg","#AF3F64"
60,"Pvalb Vipr2","#FF197F"
61,"L2/3 IT VISp Rrad","#D9F077"
62,"L2/3 IT VISp Adamts2","#A6E6A9"
63,"L2/3 IT VISp Agmat","#7AE6AB"
64,"L2/3 IT ALM Sla","#82AD7D"
65,"L2/3 IT ALM Ptrf","#B8FFCA"
66,"L2/3 IT ALM Macc1 Lrg1","#ADE6A6"
67,"L4 IT VISp Rspo1","#00979D"
68,"L5 IT VISp Hsd11b1 Endou","#00DDC5"
69,"L5 IT VISp Whrn Tox2","#26FFF2"
70,"L5 IT VISp Batf3","#00A809"
71,"L5 IT VISp Col6a1 Fezf2","#00FF00"
72,"L5 IT VISp Col27a1","#26BF64"
73,"L5 IT ALM Npw","#33A9CE"
74,"L5 IT ALM Pld5","#0094C2"
75,"L5 IT ALM Cbln4 Fezf2","#00A79D"
76,"L5 IT ALM Lypd1 Gpr88","#2F8C4D"
77,"L5 IT ALM Tnc","#00879D"
78,"L5 IT ALM Tmem163 Dmrtb1","#669D6A"
79,"L5 IT ALM Tmem163 Arhgap25","#005C07"
80,"L5 IT ALM Cpa6 Gpr88","#008F1F"
81,"L5 IT ALM Gkn1 Pcdh19","#53879D"
