"","8","20","67","3","11","36","48","47","1","12","19","18","46","50","5","2","10","4","9","7","34","79","69","71","56","66","21","41","32","38","25","68","70","89","44","45","33","62","64","43","63","42","6","39","60","97","15","16","40","13","35","37","72","17","14","83","92","51","80","52","86","59","84","49","87","98","96","85","73","30","90","23","22","29","26","65","28","24","27","31","76","75","81","74","78","77","91","54","53","55","58","57","61","93","88","82","94","95"
"Aplp1",20,14,4,16,35,27,41,23,2,13,9,26,1,56,56,11,6,19,11,19,24,17,11,11,31,34,19,14,21,9,3,4,10,19,15,14,6,25,14,30,9,19,4,17,26,17,4,16,16,12,26,9,23,8,5,20,4,7,11,8,11,3,8,7,4,5,16,7,33,3,12,5,2,0,2,9,2,3,1,4,34,25,10,4,5,16,7,18,3,14,46,20,26,20,5,4,9,16
"Atp1a3",78,65,26,66,58,49,77,55,16,16,33,47,2,85,100,22,15,57,54,51,20,60,80,22,8,63,55,33,67,25,1,7,60,34,35,14,3,38,20,55,26,31,8,44,71,42,14,33,33,10,43,9,41,17,3,33,23,3,29,3,27,2,12,15,10,7,66,22,49,1,31,4,0,0,0,10,0,0,0,18,64,97,56,9,27,18,8,1,5,2,6,1,24,32,11,9,25,47
"Gabrg2",28,17,13,13,22,15,17,14,1,15,14,15,6,27,26,2,4,19,17,19,3,14,21,8,3,11,11,8,8,10,1,3,7,11,7,8,3,10,5,20,6,13,4,19,16,2,1,13,6,3,16,1,15,3,0,6,9,0,11,0,3,0,3,3,2,1,14,4,11,0,7,0,0,0,2,1,1,0,2,9,8,15,19,5,6,5,1,0,0,0,0,1,19,4,0,8,3,6
"Kif5c",36,16,28,19,39,40,42,33,6,8,29,45,12,65,48,17,7,49,20,26,16,27,37,25,10,33,16,15,35,28,2,8,30,23,12,12,7,32,12,31,21,22,2,44,46,19,7,20,9,8,11,13,37,11,4,46,18,1,15,4,30,2,22,12,12,1,44,21,52,0,20,4,0,1,0,8,3,2,0,4,11,51,41,8,27,29,8,1,1,0,10,1,18,11,7,13,10,20
"Neurod2",123,49,32,58,97,50,94,61,15,26,48,63,14,138,162,29,15,84,68,47,32,25,19,11,31,74,24,37,80,23,5,0,15,29,10,23,22,41,24,100,38,55,14,30,111,24,12,12,27,14,9,8,26,13,8,28,16,5,11,7,23,13,22,9,11,5,28,21,43,15,17,2,5,2,2,6,9,0,5,7,14,39,28,9,12,14,9,25,11,17,24,10,60,16,13,11,15,29
"Tbr1",68,46,34,51,54,44,38,42,5,12,27,47,17,92,112,34,18,56,46,39,16,17,17,5,7,47,9,27,36,12,6,5,20,12,8,12,11,26,17,43,20,11,2,11,61,4,9,17,23,14,16,10,12,4,5,8,7,1,9,9,8,6,13,9,9,5,12,28,17,7,4,4,2,2,4,5,5,1,3,5,35,17,15,10,8,11,4,6,2,5,7,6,40,13,2,14,3,13
"Gad2",1,4,9,0,4,6,3,6,0,4,2,6,1,1,13,2,1,10,7,5,2,36,28,23,5,4,31,4,5,26,0,4,36,27,22,4,3,4,1,2,1,4,2,68,13,23,4,22,0,1,40,8,37,22,0,40,11,1,35,0,18,1,17,12,10,3,44,13,48,3,14,0,0,0,0,2,2,0,0,14,45,72,37,7,14,26,9,1,0,0,0,1,13,11,11,9,13,27
"Dlx2",16,4,12,2,13,13,18,12,2,1,6,12,1,5,11,3,0,16,11,13,7,94,67,37,11,17,61,5,15,50,7,16,87,73,55,10,5,15,9,21,3,7,2,113,41,77,37,62,7,4,76,26,82,49,11,61,32,7,55,16,39,14,28,27,31,8,88,72,123,8,58,10,3,6,8,6,11,7,6,30,109,127,106,27,32,50,27,3,16,6,14,3,21,43,34,15,35,80
"Sox2",11,16,15,9,12,12,8,11,0,6,14,21,1,16,34,6,7,26,17,13,7,110,63,47,100,24,73,5,12,78,2,11,94,79,42,7,5,12,7,11,9,9,6,135,54,71,30,62,5,2,72,30,112,67,3,74,48,25,50,8,58,6,50,31,34,13,100,49,135,1,64,11,2,0,2,9,2,1,3,29,121,162,101,25,51,48,29,52,6,34,65,34,25,43,29,26,44,72
"Lhx5",7,7,7,3,7,17,5,11,1,0,10,8,0,12,29,8,2,22,12,16,2,5,6,2,7,11,7,7,12,7,0,3,10,3,10,3,3,10,6,13,1,9,1,16,31,5,6,9,6,3,4,5,8,6,0,10,12,0,1,1,3,0,4,7,3,7,13,4,13,0,2,0,2,0,0,18,0,0,0,3,34,15,5,5,1,8,4,0,0,0,1,1,13,9,4,6,9,11
