pred_cluster_id,pred_cluster_color,pred_cluster_label,group_id,group_label,group_color
56,#E62A5D,Pvalb Gpr149 Islr,7,Pvalb,#AF3F64
57,#D6221D,Pvalb Reln Tac1,7,Pvalb,#AF3F64
58,#E67A77,Pvalb Reln Itm2a,7,Pvalb,#AF3F64
59,#AF3F64,Pvalb Tpbg,7,Pvalb,#AF3F64
60,#FF197F,Pvalb Vipr2,8,Pvalb Vipr2,#FF197F
61,#D9F077,L2/3 IT VISp Rrad,9,L2/3 IT,#D9F077
62,#A6E6A9,L2/3 IT VISp Adamts2,9,L2/3 IT,#D9F077
63,#7AE6AB,L2/3 IT VISp Agmat,9,L2/3 IT,#D9F077
64,#82AD7D,L2/3 IT ALM Sla,9,L2/3 IT,#D9F077
65,#B8FFCA,L2/3 IT ALM Ptrf,9,L2/3 IT,#D9F077
66,#ADE6A6,L2/3 IT ALM Macc1 Lrg1,9,L2/3 IT,#D9F077
67,#00979D,L4 IT VISp Rspo1,10,L4 IT,#00979D
68,#00DDC5,L5 IT VISp Hsd11b1 Endou,11,L5 IT,#26FFF2
69,#26FFF2,L5 IT VISp Whrn Tox2,11,L5 IT,#26FFF2
70,#00A809,L5 IT VISp Batf3,11,L5 IT,#26FFF2
71,#00FF00,L5 IT VISp Col6a1 Fezf2,11,L5 IT,#26FFF2
72,#26BF64,L5 IT VISp Col27a1,11,L5 IT,#26FFF2
73,#33A9CE,L5 IT ALM Npw,11,L5 IT,#26FFF2
74,#0094C2,L5 IT ALM Pld5,11,L5 IT,#26FFF2
75,#00A79D,L5 IT ALM Cbln4 Fezf2,11,L5 IT,#26FFF2
76,#2F8C4D,L5 IT ALM Lypd1 Gpr88,11,L5 IT,#26FFF2
77,#00879D,L5 IT ALM Tnc,11,L5 IT,#26FFF2
78,#669D6A,L5 IT ALM Tmem163 Dmrtb1,11,L5 IT,#26FFF2
79,#005C07,L5 IT ALM Tmem163 Arhgap25,11,L5 IT,#26FFF2
80,#008F1F,L5 IT ALM Cpa6 Gpr88,11,L5 IT,#26FFF2
81,#53879D,L5 IT ALM Gkn1 Pcdh19,11,L5 IT,#26FFF2
82,#53A39D,L6 IT ALM Tgfb1,12,L6 IT,#7F9922
83,#174F61,L6 IT ALM Oprk1,12,L6 IT,#7F9922
84,#A19922,L6 IT VISp Penk Col27a1,12,L6 IT,#7F9922
85,#7F9922,L6 IT VISp Penk Fst,12,L6 IT,#7F9922
86,#C2E32C,L6 IT VISp Col23a1 Adamts2,12,L6 IT,#7F9922
87,#96E32C,L6 IT VISp Col18a1,12,L6 IT,#7F9922
88,#5100FF,L6 IT VISp Car3,13,L6 Car3,#5100FF
89,#0000FF,L5 PT VISp Chrna6,14,L5 PT,#247740
90,#22737F,L5 PT VISp Lgr5,14,L5 PT,#247740
91,#247740,L5 PT VISp C1ql2 Ptgfr,14,L5 PT,#247740
92,#00A863,L5 PT VISp C1ql2 Cdh13,14,L5 PT,#247740
93,#29E043,L5 PT VISp Krt80,14,L5 PT,#247740
94,#53D385,L5 PT ALM Slco2a1,14,L5 PT,#247740
95,#1E806D,L5 PT ALM Npsr1,14,L5 PT,#247740
96,#4A8044,L5 PT ALM Hpgd,14,L5 PT,#247740
97,#008F39,L5 NP VISp Trhr Cpne7,15,L5 NP,#73CA95
98,#3D9946,L5 NP ALM Trhr Nefl,15,L5 NP,#73CA95
99,#73CA95,L5 NP VISp Trhr Met,15,L5 NP,#73CA95
100,#47867A,L6 NP ALM Trh,15,L5 NP,#73CA95
101,#00B8C3,L6 CT ALM Cpa6,16,L6 CT,#74CAFF
102,#006091,L6 CT Nxph2 Sla,16,L6 CT,#74CAFF
103,#5C89CC,L6 CT VISp Nxph2 Wls,16,L6 CT,#74CAFF
104,#74A0FF,L6 CT VISp Gpr139,16,L6 CT,#74CAFF
105,#74CAFF,L6 CT VISp Ctxn3 Brinp3,16,L6 CT,#74CAFF
106,#69A8E6,L6 CT VISp Ctxn3 Sla,16,L6 CT,#74CAFF
107,#578EBF,L6 CT VISp Krt80 Sla,16,L6 CT,#74CAFF
108,#1F6666,L6b Col8a1 Rprm,17,L6b,#2B7880
109,#2B7880,L6b VISp Mup5,17,L6b,#2B7880
110,#388899,L6b VISp Col8a1 Rxfp1,17,L6b,#2B7880
111,#266180,L6b ALM Olfr111 Spon1,17,L6b,#2B7880
112,#494566,L6b ALM Olfr111 Nxph1,17,L6b,#2B7880
113,#336D99,L6b P2ry12,17,L6b,#2B7880
114,#254566,L6b VISp Crh,17,L6b,#2B7880
115,#335280,L6b Hsd17b2,17,L6b,#2B7880
116,#FF0000,Meis2 Adamts19,18,Meis2,#FF0000
117,#00FF66,CR Lhx5,19,CR,#00FF66
118,#665C47,Astro Aqp4,20,Non Neuronal,#598069
119,#476655,OPC Pdgfra Grm5,20,Non Neuronal,#598069
120,#475D4B,OPC Pdgfra Ccnb1,20,Non Neuronal,#598069
121,#6B998D,Oligo Rassf10,20,Non Neuronal,#598069
122,#6C8581,Oligo Serpinb1a,20,Non Neuronal,#598069
123,#476662,Oligo Synpr,20,Non Neuronal,#598069
124,#664747,VLMC Osr1 Cd74,20,Non Neuronal,#598069
125,#89997A,VLMC Osr1 Mc5r,20,Non Neuronal,#598069
126,#6B8059,VLMC Spp1 Hs3st6,20,Non Neuronal,#598069
127,#74996B,VLMC Spp1 Col15a1,20,Non Neuronal,#598069
128,#665547,Peri Kcnj8,20,Non Neuronal,#598069
129,#807059,SMC Acta2,20,Non Neuronal,#598069
130,#997F7A,Endo Ctla2a,20,Non Neuronal,#598069
131,#805F59,Endo Cytl1,20,Non Neuronal,#598069
132,#4C6647,PVM Mrc1,20,Non Neuronal,#598069
133,#598069,Microglia Siglech,20,Non Neuronal,#598069
