pred_cluster_id,pred_cluster_color,pred_cluster_label,group_id,group_label,group_color
1,#DDACC9,Lamp5 Krt73,1,Lamp5,#DD6091
2,#FF88AD,Lamp5 Fam19a1 Pax6,1,Lamp5,#DD6091
3,#FFB8CE,Lamp5 Fam19a1 Tmem182,1,Lamp5,#DD6091
4,#DD6091,Lamp5 Ntn1 Npy2r,1,Lamp5,#DD6091
5,#FF7290,Lamp5 Plch2 Dock5,1,Lamp5,#DD6091
6,#FFA388,Lamp5 Lsp1,1,Lamp5,#DD6091
7,#C77963,Lamp5 Lhx6,2,Lamp5 Lhx6,#C77963
8,#9440F3,Sncg Slc17a8,3,Sncg,#6C00BF
9,#9900B3,Sncg Vip Nptx2,3,Sncg,#6C00BF
10,#C266D1,Sncg Gpr50,3,Sncg,#6C00BF
11,#6C00BF,Sncg Vip Itih5,3,Sncg,#6C00BF
12,#A700FF,Serpinf1 Clrn1,3,Sncg,#6C00BF
13,#CA66FF,Serpinf1 Aqp5 Vip,3,Sncg,#6C00BF
14,#7779BF,Vip Igfbp6 Car10,4,Vip,#992E81
15,#8194CC,Vip Igfbp6 Pltp,4,Vip,#992E81
16,#533691,Vip Igfbp4 Mab21l1,4,Vip,#992E81
17,#9189FF,Vip Arhgap36 Hmcn1,4,Vip,#992E81
18,#B09FFF,Vip Gpc3 Slc18a3,4,Vip,#992E81
19,#756FB3,Vip Lmo1 Fam159b,4,Vip,#992E81
20,#9FAAFF,Vip Lmo1 Myl1,4,Vip,#992E81
21,#FF00FF,Vip Ptprt Pkp2,4,Vip,#992E81
22,#AF00E6,Vip Rspo4 Rxfp1 Chat,4,Vip,#992E81
23,#FF00B3,Vip Lect1 Oxtr,4,Vip,#992E81
24,#B3128A,Vip Rspo1 Itga4,4,Vip,#992E81
25,#FF4DC1,Vip Chat Htr1f,4,Vip,#992E81
26,#BD3D9A,Vip Pygm C1ql1,4,Vip,#992E81
27,#882E81,Vip Crispld2 Htr2c,4,Vip,#992E81
28,#AD589A,Vip Crispld2 Kcne4,4,Vip,#992E81
29,#AC3491,Vip Col15a1 Pde1a,4,Vip,#992E81
30,#FFFF00,Sst Chodl,5,Sst Chodl,#FFFF00
31,#FFBB33,Sst Mme Fam114a1,6,Sst,#FFDF11
32,#804811,Sst Tac1 Htr1d,6,Sst,#FFDF11
33,#B06411,Sst Tac1 Tacr3,6,Sst,#FFDF11
34,#BF480D,Sst Calb2 Necab1,6,Sst,#FFDF11
35,#CC6D3D,Sst Calb2 Pdlim5,6,Sst,#FFDF11
36,#FFDF11,Sst Nr2f2 Necab1,6,Sst,#FFDF11
37,#D6C300,Sst Myh8 Etv1 ,6,Sst,#FFDF11
38,#FF8011,Sst Myh8 Fibin,6,Sst,#FFDF11
39,#FF9F2C,Sst Chrna2 Glra3,6,Sst,#FFDF11
40,#FFB307,Sst Chrna2 Ptgdr,6,Sst,#FFDF11
41,#D9C566,Sst Tac2 Myh4,6,Sst,#FFDF11
42,#BF9F00,Sst Hpse Sema3c,6,Sst,#FFDF11
43,#806B19,Sst Hpse Cbln4,6,Sst,#FFDF11
44,#B95541,Sst Crhr2 Efemp1,6,Sst,#FFDF11
45,#C77767,Sst Crh 4930553C11Rik ,6,Sst,#FFDF11
46,#C11331,Sst Esm1,6,Sst,#FFDF11
47,#BF8219,Sst Tac2 Tacstd2,6,Sst,#FFDF11
48,#994C00,Sst Rxfp1 Eya1,6,Sst,#FFDF11
49,#802600,Sst Rxfp1 Prdm8,6,Sst,#FFDF11
50,#A81111,Sst Nts,6,Sst,#FFDF11
51,#ED4C50,Pvalb Gabrg1,7,Pvalb,#AF3F64
52,#FF2F7E,Pvalb Th Sst,7,Pvalb,#AF3F64
53,#FF4343,Pvalb Akr1c18 Ntf3,7,Pvalb,#AF3F64
54,#BC2B11,Pvalb Calb1 Sst,7,Pvalb,#AF3F64
55,#C94545,Pvalb Sema3e Kank4,7,Pvalb,#AF3F64
