"sample_id","x","y","source_category","source_category_color","pg_clust","pg_clust_color","pred_subclass_label","pred_subclass_cor","pred_subclass_color","pred_cluster_label","pred_cluster_cor","pred_cluster_color"
"20160111_A01",-3.82793139167899,18.2701950673886,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_A02",-6.22549990629708,21.5753574753435,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_A04",-5.12853398715025,24.374586550771,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_A05",11.8492899414539,40.1979002681391,"exc","#29ABE1",20,"#ABCC00","L5 PT",0.505027371955622,"#0D5B78","L5 PT VISp Krt80 Igfbp2",0.512933087992502,"#29E043"
"20160111_A06",30.4209288489533,29.9000201784772,"exc","#29ABE1",67,"#2F26FF","L2/3 IT",0.413726150960124,"#94D9A1","L2/3 IT VISp Pcp4l1",0.415897006444267,"#7AE6AB"
"20160111_A08",5.97580515556628,6.4759955240628,"exc","#29ABE1",3,"#992717","L6 CT",0.518268342004191,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.527677835206958,"#74CAFF"
"20160111_A09",-5.78585807179784,21.2681517060982,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_A10",-12.4016813906985,22.3086706711553,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_A11",11.5069914045758,15.1055502357786,"exc","#29ABE1",36,"#009916","L6 IT",0.489319158268784,"#A19922","L6 IT VISp Fst Ptgs2",0.49489408185385,"#7F9922"
"20160111_A12",-8.57513468484799,26.5016403705981,"exc","#29ABE1",48,"#009986","L4",0.50817262005714,"#00979D","L4 IT VISp Rspo1",0.50817262005714,"#00979D"
"20160111_B01",-11.3843939134727,20.7810849104625,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_B02",11.451702563041,40.0826252126592,"exc","#29ABE1",20,"#ABCC00","L5 PT",0.505027371955622,"#0D5B78","L5 PT VISp Krt80 Igfbp2",0.512933087992502,"#29E043"
"20160111_B03",-3.78914689126477,22.3694059873425,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_B04",-0.480306656219315,32.8873861097235,"exc","#29ABE1",47,"#1FCCAC","L4",0.489559101099807,"#00979D","L5 IT VISp Hsd11b1 Endou",0.493816966019728,"#00DDC5"
"20160111_B05",-3.85859968192549,22.4292128756753,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_B06",-10.8582530612395,20.6345396454794,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_B09",15.4955654878907,36.6241455454434,"exc","#29ABE1",1,"#FF7373","L5 IT",0.448402017024063,"#008A61","L5 IT VISp Whrn Tox2",0.449613540742601,"#26FFF2"
"20160111_B10",11.8620189096567,49.1056755485664,"exc","#29ABE1",12,"#996700","L5 PT",0.472234411512688,"#0D5B78","L5 PT VISp Ptgfr",0.482061798116892,"#247740"
"20160111_B11",-1.5175746442206,19.6559747589908,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_B12",-8.46242025989945,19.3631174017991,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_C01",-9.27853088943502,20.7186311000716,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_C02",14.3641294000763,35.4207657358425,"exc","#29ABE1",1,"#FF7373","L5 IT",0.448402017024063,"#008A61","L5 IT VISp Whrn Tox2",0.449613540742601,"#26FFF2"
"20160111_C03",11.6465043605755,40.0510416144441,"exc","#29ABE1",20,"#ABCC00","L5 PT",0.505027371955622,"#0D5B78","L5 PT VISp Krt80 Igfbp2",0.512933087992502,"#29E043"
"20160111_C04",-4.2007741515241,23.6158332073475,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_C05",-14.0443836586672,24.0530203507395,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_C06",-5.05191845932608,12.2306339643708,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_C07",17.9214333261885,44.9829747839863,"exc","#29ABE1",19,"#E9FF26","L5 PT",0.511850868007312,"#0D5B78","L5 PT VISp Ptgfr",0.526124049640194,"#247740"
"20160111_C09",4.6170394896738,14.7632282885617,"exc","#29ABE1",36,"#009916","L6 IT",0.489319158268784,"#A19922","L6 IT VISp Fst Ptgs2",0.49489408185385,"#7F9922"
"20160111_C10",14.4843293488267,35.1521954097154,"exc","#29ABE1",1,"#FF7373","L5 IT",0.448402017024063,"#008A61","L5 IT VISp Whrn Tox2",0.449613540742601,"#26FFF2"
"20160111_C11",18.0958716344887,47.6881523755187,"exc","#29ABE1",19,"#E9FF26","L5 PT",0.511850868007312,"#0D5B78","L5 PT VISp Ptgfr",0.526124049640194,"#247740"
"20160111_C12",25.1175526218116,37.7122289678192,"exc","#29ABE1",18,"#95992E","L5 PT",0.541296457787792,"#0D5B78","L5 PT VISp Ptgfr",0.554290781165544,"#247740"
"20160111_D01",-2.61937982840158,21.1654687296501,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_D02",-15.8819949076318,22.5424169165603,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_D03",-13.0981878869391,26.9266131759032,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_D04",13.2260992702777,35.4879252467503,"exc","#29ABE1",1,"#FF7373","L5 IT",0.448402017024063,"#008A61","L5 IT VISp Whrn Tox2",0.449613540742601,"#26FFF2"
"20160111_D05",11.676575944756,40.0223310065144,"exc","#29ABE1",20,"#ABCC00","L5 PT",0.505027371955622,"#0D5B78","L5 PT VISp Krt80 Igfbp2",0.512933087992502,"#29E043"
"20160111_D06",-10.5955665413759,20.1453709950729,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_D07",20.9522973035489,38.6324586759634,"exc","#29ABE1",18,"#95992E","L5 PT",0.541296457787792,"#0D5B78","L5 PT VISp Ptgfr",0.554290781165544,"#247740"
"20160111_D08",-7.67631437526874,26.9886384428001,"exc","#29ABE1",48,"#009986","L4",0.50817262005714,"#00979D","L4 IT VISp Rspo1",0.50817262005714,"#00979D"
"20160111_D09",15.4418071201777,36.6453180098823,"exc","#29ABE1",1,"#FF7373","L5 IT",0.448402017024063,"#008A61","L5 IT VISp Whrn Tox2",0.449613540742601,"#26FFF2"
"20160111_D10",10.5400787052043,51.6516887600154,"exc","#29ABE1",12,"#996700","L5 PT",0.472234411512688,"#0D5B78","L5 PT VISp Ptgfr",0.482061798116892,"#247740"
"20160111_D11",30.3080013128684,34.9463619130885,"exc","#29ABE1",46,"#4DFFD3","L5 PT",0.445423038292164,"#0D5B78","L5 PT VISp Ptgfr",0.457906547697827,"#247740"
"20160111_D12",23.8649086710438,36.9485539983757,"exc","#29ABE1",18,"#95992E","L5 PT",0.541296457787792,"#0D5B78","L5 PT VISp Ptgfr",0.554290781165544,"#247740"
"20160111_E01",-8.43969775806432,18.0796348233108,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_E02",-5.26598756611503,19.1553762947638,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_E03",-7.13449728775364,27.6283205077856,"exc","#29ABE1",48,"#009986","L4",0.50817262005714,"#00979D","L4 IT VISp Rspo1",0.50817262005714,"#00979D"
"20160111_E04",-2.56947543833521,24.8115168244488,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_E05",22.9254070594643,42.3030549183112,"exc","#29ABE1",18,"#95992E","L5 PT",0.541296457787792,"#0D5B78","L5 PT VISp Ptgfr",0.554290781165544,"#247740"
"20160111_E07",30.4684792504164,33.7826468557384,"exc","#29ABE1",46,"#4DFFD3","L5 PT",0.445423038292164,"#0D5B78","L5 PT VISp Ptgfr",0.457906547697827,"#247740"
"20160111_E08",-9.33151620067027,20.1935322557288,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
