"sample_id","x","y","source_category","source_category_color","pg_clust","pg_clust_color","pred_subclass_label","pred_subclass_cor","pred_subclass_color","pred_cluster_label","pred_cluster_cor","pred_cluster_color"
"20160111_E09",-3.72424722016285,18.1506567931724,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_E10",15.6162123593217,42.5901293827865,"exc","#29ABE1",20,"#ABCC00","L5 PT",0.505027371955622,"#0D5B78","L5 PT VISp Krt80 Igfbp2",0.512933087992502,"#29E043"
"20160111_E11",25.437147553248,40.6198990211559,"exc","#29ABE1",18,"#95992E","L5 PT",0.541296457787792,"#0D5B78","L5 PT VISp Ptgfr",0.554290781165544,"#247740"
"20160111_E12",30.3058836179469,34.7328059822788,"exc","#29ABE1",46,"#4DFFD3","L5 PT",0.445423038292164,"#0D5B78","L5 PT VISp Ptgfr",0.457906547697827,"#247740"
"20160111_F01",-2.48104077527252,24.7585844735577,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_F02",4.1087468763843,16.0409666988875,"exc","#29ABE1",36,"#009916","L6 IT",0.489319158268784,"#A19922","L6 IT VISp Fst Ptgs2",0.49489408185385,"#7F9922"
"20160111_F03",-4.25775287704678,23.9139345500208,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_F04",11.6155569757818,49.0202386738734,"exc","#29ABE1",12,"#996700","L5 PT",0.472234411512688,"#0D5B78","L5 PT VISp Ptgfr",0.482061798116892,"#247740"
"20160111_F05",-23.3862714664422,18.1486798516713,"exc","#29ABE1",50,"#3DCCCC","L4",0.523807784938334,"#00979D","L4 IT VISp Rspo1",0.523807784938334,"#00979D"
"20160111_F06",5.9256634433041,6.51718480423999,"exc","#29ABE1",3,"#992717","L6 CT",0.518268342004191,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.527677835206958,"#74CAFF"
"20160111_F07",-4.65812697363072,18.7078976288056,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_F08",-4.75521297368575,24.7867130433338,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_F09",14.0160387992256,46.4982789098806,"exc","#29ABE1",19,"#E9FF26","L5 PT",0.511850868007312,"#0D5B78","L5 PT VISp Ptgfr",0.526124049640194,"#247740"
"20160111_F10",-5.96074033893088,21.4711904220196,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_F11",16.577554391962,46.6636554732286,"exc","#29ABE1",19,"#E9FF26","L5 PT",0.511850868007312,"#0D5B78","L5 PT VISp Ptgfr",0.526124049640194,"#247740"
"20160111_F12",-5.24047825427779,25.9397707363114,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_G01",-13.3436833306007,27.1656337392832,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_G02",-2.57343940730303,19.8207315665143,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_G03",-6.89502340103496,20.3287424321839,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_G04",-7.43677665639049,27.149943288107,"exc","#29ABE1",48,"#009986","L4",0.50817262005714,"#00979D","L4 IT VISp Rspo1",0.50817262005714,"#00979D"
"20160111_G05",-10.5379197872983,22.7925387579513,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_G06",-4.99664870623491,19.3599342162171,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_G07",-9.18512085611205,19.9645156137901,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_G08",23.1675675057417,35.1122901749385,"exc","#29ABE1",18,"#95992E","L5 PT",0.541296457787792,"#0D5B78","L5 PT VISp Ptgfr",0.554290781165544,"#247740"
"20160111_G09",-24.456110191733,19.4448287918839,"exc","#29ABE1",50,"#3DCCCC","L4",0.523807784938334,"#00979D","L4 IT VISp Rspo1",0.523807784938334,"#00979D"
"20160111_G10",30.0351378723443,29.8289015752249,"exc","#29ABE1",67,"#2F26FF","L2/3 IT",0.413726150960124,"#94D9A1","L2/3 IT VISp Pcp4l1",0.415897006444267,"#7AE6AB"
"20160111_G11",-5.77389944318786,17.6260779905304,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160111_G12",17.3373274690699,46.7853874655467,"exc","#29ABE1",19,"#E9FF26","L5 PT",0.511850868007312,"#0D5B78","L5 PT VISp Ptgfr",0.526124049640194,"#247740"
"20160111_H01",16.0769197297691,46.5279835737689,"exc","#29ABE1",19,"#E9FF26","L5 PT",0.511850868007312,"#0D5B78","L5 PT VISp Ptgfr",0.526124049640194,"#247740"
"20160111_H02",4.11063743794071,16.2544484274789,"exc","#29ABE1",36,"#009916","L6 IT",0.489319158268784,"#A19922","L6 IT VISp Fst Ptgs2",0.49489408185385,"#7F9922"
"20160111_H03",-5.8340542483048,30.2949226295183,"exc","#29ABE1",47,"#1FCCAC","L4",0.489559101099807,"#00979D","L5 IT VISp Hsd11b1 Endou",0.493816966019728,"#00DDC5"
"20160111_H05",-9.17874339969696,20.2088519711593,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_H07",13.9214270578317,42.4742816062676,"exc","#29ABE1",20,"#ABCC00","L5 PT",0.505027371955622,"#0D5B78","L5 PT VISp Krt80 Igfbp2",0.512933087992502,"#29E043"
"20160111_H08",-17.7399258650403,26.3861974232714,"exc","#29ABE1",11,"#CC891F","L5 IT",0.503956927258593,"#008A61","L5 IT VISp Hsd11b1 Endou",0.513724969612174,"#00DDC5"
"20160111_H09",12.3383405295262,49.048899993085,"exc","#29ABE1",12,"#996700","L5 PT",0.472234411512688,"#0D5B78","L5 PT VISp Ptgfr",0.482061798116892,"#247740"
"20160111_H10",15.0141343610683,48.4141631254745,"exc","#29ABE1",19,"#E9FF26","L5 PT",0.511850868007312,"#0D5B78","L5 PT VISp Ptgfr",0.526124049640194,"#247740"
"20160111_H11",22.8788030522429,38.8726428096042,"exc","#29ABE1",18,"#95992E","L5 PT",0.541296457787792,"#0D5B78","L5 PT VISp Ptgfr",0.554290781165544,"#247740"
"20160122_A01",11.5777985906612,2.18026364562205,"exc","#29ABE1",3,"#992717","L6 CT",0.518268342004191,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.527677835206958,"#74CAFF"
"20160122_A02",20.0441093081778,2.33404579859531,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_A03",12.8224678224882,0.336082176038256,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_A04",36.8568477370851,-1.24322441468098,"exc","#29ABE1",2,"#CC463D","L6 CT",0.484974496826997,"#2D8CB8","L6 CT VISp Krt80 Rspo2",0.485506177267659,"#578EBF"
"20160122_A05",22.3587565512135,2.09702548677413,"exc","#29ABE1",10,"#FFAF4D","L6 CT",0.472359910348295,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.477804410684187,"#74CAFF"
"20160122_A06",17.1267878361954,3.30455351304262,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_B01",29.3614534863831,-2.50094346153785,"exc","#29ABE1",4,"#FF2F00","L6 CT",0.513753875043028,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.521017510060985,"#74CAFF"
"20160122_B02",34.596369189237,6.37399276649436,"exc","#29ABE1",9,"#996E45","L6 CT",0.49349666625648,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.494355398607641,"#74CAFF"
"20160122_B03",11.2602721900034,1.33588565059329,"exc","#29ABE1",3,"#992717","L6 CT",0.518268342004191,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.527677835206958,"#74CAFF"
"20160122_B04",32.5555586854809,6.69352473601964,"exc","#29ABE1",9,"#996E45","L6 CT",0.49349666625648,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.494355398607641,"#74CAFF"
"20160122_B05",14.4006751602374,7.01491080456761,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_B06",31.0120838145363,14.2341448780254,"exc","#29ABE1",7,"#FF7626","L6 CT",0.508013045167327,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.514788761254047,"#74CAFF"
"20160122_C01",11.3918698662314,1.42838727854646,"exc","#29ABE1",3,"#992717","L6 CT",0.518268342004191,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.527677835206958,"#74CAFF"
"20160122_C02",27.6681081510963,-2.38525067140281,"exc","#29ABE1",4,"#FF2F00","L6 CT",0.513753875043028,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.521017510060985,"#74CAFF"
"20160122_C03",22.44800196367,-0.67384909509587,"exc","#29ABE1",4,"#FF2F00","L6 CT",0.513753875043028,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.521017510060985,"#74CAFF"
"20160122_C04",0.79929218582079,10.989568843853,"exc","#29ABE1",34,"#4DFF50","L6 IT",0.469832616450829,"#A19922","L6 IT VISp Col27a1",0.478752233029068,"#A19922"
"20160122_C05",0.999672794014263,28.4952452023422,"exc","#29ABE1",8,"#CC5700","L5 IT",0.529987851901692,"#008A61","L5 IT VISp Whrn Tox2",0.52988734015426,"#26FFF2"
"20160122_C06",10.3381582002462,4.19643170473946,"exc","#29ABE1",3,"#992717","L6 CT",0.518268342004191,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.527677835206958,"#74CAFF"
"20160122_E01",31.4661904573243,4.12565280985595,"exc","#29ABE1",9,"#996E45","L6 CT",0.49349666625648,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.494355398607641,"#74CAFF"
"20160122_E02",16.4940519751603,-1.45858879228935,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_E03",10.0444389178528,1.34152086409806,"exc","#29ABE1",3,"#992717","L6 CT",0.518268342004191,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.527677835206958,"#74CAFF"
"20160122_E04",17.0210398145517,1.16205501840143,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_E05",22.1500875687409,1.7134966795894,"exc","#29ABE1",10,"#FFAF4D","L6 CT",0.472359910348295,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.477804410684187,"#74CAFF"
"20160122_E06",11.6775546630935,1.0334270821727,"exc","#29ABE1",3,"#992717","L6 CT",0.518268342004191,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.527677835206958,"#74CAFF"
"20160122_F01",19.5341691843728,-0.870500592242473,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_F02",15.697227650929,4.39672584009422,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_F03",32.7725022369391,3.64926880201984,"exc","#29ABE1",9,"#996E45","L6 CT",0.49349666625648,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.494355398607641,"#74CAFF"
"20160122_F04",17.475911133444,-1.27818034931563,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_F05",13.7572429365726,0.208564844824506,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_F06",34.8534823906309,-0.703106313856181,"exc","#29ABE1",2,"#CC463D","L6 CT",0.484974496826997,"#2D8CB8","L6 CT VISp Krt80 Rspo2",0.485506177267659,"#578EBF"
"20160122_G01",16.8098399130015,6.77738584121717,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_G02",10.4194265065773,4.23268469269833,"exc","#29ABE1",3,"#992717","L6 CT",0.518268342004191,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.527677835206958,"#74CAFF"
"20160122_G03",9.41908548249909,1.31346573656331,"exc","#29ABE1",3,"#992717","L6 CT",0.518268342004191,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.527677835206958,"#74CAFF"
"20160122_G04",26.5095740500024,4.03074092158645,"exc","#29ABE1",4,"#FF2F00","L6 CT",0.513753875043028,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.521017510060985,"#74CAFF"
"20160122_G05",22.605984825826,1.01128047166295,"exc","#29ABE1",10,"#FFAF4D","L6 CT",0.472359910348295,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.477804410684187,"#74CAFF"
"20160122_G06",16.7791173037344,0.234639588725145,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_H01",11.986167133369,3.65785880690071,"exc","#29ABE1",3,"#992717","L6 CT",0.518268342004191,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.527677835206958,"#74CAFF"
"20160122_H02",13.5540926052298,5.43000741834878,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_H03",16.5798355187511,-1.76663699154839,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_H04",15.6872066880263,1.8033264999018,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160122_H05",28.8139523333845,4.41481097866216,"exc","#29ABE1",4,"#FF2F00","L6 CT",0.513753875043028,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.521017510060985,"#74CAFF"
"20160122_H06",20.1993739910017,0.805757137156819,"exc","#29ABE1",5,"#CC775C","L6 CT",0.517953203556461,"#2D8CB8","L6 CT VISp Ctxn3 Brinp3",0.525356178587019,"#74CAFF"
"20160126_A07",-15.2225607594048,5.91009638497308,"mixed","#92278F",79,"#CE26FF","Pvalb",0.445423040572693,"#D93137","Pvalb Tpbg",0.44844185291558,"#AF3F64"
"20160126_A08",-6.30764370717103,-14.568465246333,"mixed","#92278F",69,"#534599","Pvalb",0.431790102258593,"#D93137","Pvalb Tpbg",0.438481504827431,"#AF3F64"
"20160126_A09",-12.4856498550838,-8.21007876832916,"mixed","#92278F",71,"#501FCC","Pvalb",0.448235734479437,"#D93137","Pvalb Tpbg",0.46471779803339,"#AF3F64"
"20160126_A10",-42.3919121584105,-15.202008371203,"mixed","#92278F",56,"#0081CC","Astro",0.442712536789219,"#665C47","Astro Aqp4",0.442712536789219,"#665C47"
"20160126_A12",3.83033667581349,21.0728468689014,"mixed","#92278F",66,"#2E3099","L2/3 IT",0.482802804978581,"#94D9A1","L2/3 IT VISp Pcp4l1",0.487368451809259,"#7AE6AB"
"20160126_B07",-42.4892426314049,-15.4530263926854,"mixed","#92278F",56,"#0081CC","Astro",0.442712536789219,"#665C47","Astro Aqp4",0.442712536789219,"#665C47"
"20160126_B08",-19.2371563266977,7.1488230624971,"mixed","#92278F",21,"#869945","Pvalb",0.468665863369258,"#D93137","Pvalb Reln_1",0.468767045105832,"#D6221D"
"20160126_B09",-12.7868787915781,-5.51553400400855,"mixed","#92278F",71,"#501FCC","Pvalb",0.448235734479437,"#D93137","Pvalb Tpbg",0.46471779803339,"#AF3F64"
"20160126_B10",-45.1713082542199,-16.0639672526429,"mixed","#92278F",56,"#0081CC","Astro",0.442712536789219,"#665C47","Astro Aqp4",0.442712536789219,"#665C47"
