"cell_label","cu_type","label"
"Astrocytes","clusters_19.cluster_1","Astrocytes (19.1)"
"Astrocytes","clusters_19.cluster_2","Astrocytes (19.2)"
"Astrocytes","clusters_19.cluster_4","Astrocytes (19.4)"
"Collisions","clusters_26.cluster_2","Collisions (26.2)"
"Collisions","clusters_26.cluster_3","Collisions (26.3)"
"Collisions","clusters_27.cluster_2","Collisions (27.2)"
"Collisions","clusters_30.cluster_3","Collisions (30.3)"
"Endothelial II cells","clusters_25.cluster_2","Endothelial II cells (25.2)"
"Endothelial II cells","clusters_9.cluster_3","Endothelial II cells (9.3)"
"Ex. neurons CPN","clusters_5.cluster_1","Ex. neurons CPN (5.1)"
"Ex. neurons CThPN","clusters_5.cluster_3","Ex. neurons CThPN (5.3)"
"Ex. neurons CThPN","clusters_5.cluster_4","Ex. neurons CThPN (5.4)"
"Ex. neurons SCPN","clusters_29.cluster_1","Ex. neurons SCPN (29.1)"
"Ex. neurons SCPN","clusters_5.cluster_2","Ex. neurons SCPN (5.2)"
"Inhibitory neurons","clusters_15.cluster_1","Inhibitory neurons (15.1)"
"Inhibitory neurons","clusters_15.cluster_2","Inhibitory neurons (15.2)"
"Inhibitory neurons","clusters_5.cluster_5","Inhibitory neurons (5.5)"
"Microglia","clusters_16.cluster_3","Microglia (16.3)"
"Oligodendrocytes","clusters_21.cluster_1","Oligodendrocytes (21.1)"
"Oligodendrocytes","clusters_21.cluster_2","Oligodendrocytes (21.2)"
"SOM+ Interneurons","clusters_15.cluster_3","SOM+ Interneurons (15.3)"
"Unknown","clusters_1.cluster_1","Unknown (1.1)"
"Unknown","clusters_1.cluster_2","Unknown (1.2)"
"Unknown","clusters_1.cluster_3","Unknown (1.3)"
"Unknown","clusters_5.cluster_6","Unknown (5.6)"
"Unknown","clusters_9.cluster_1","Unknown (9.1)"
